chat_id,msg_idx,window_text,label
pot_297,1,buenas - me pueden orientar?,Potencial cliente
cot_271,4,"Origen alameda 936, rancagua fecha 02/07/2026 me ayudan con la cotización",Cotizando
pot_26,3,buenos días necesito información? 🙌,Potencial cliente
gen_30,1,"destino Av. Perú 1384, La Serena - somos 4 - hora 21:15 - origen Los Carrera 1635, Santiago - fecha 20/10/2025 - ida y vuelta 👋",Cotización generada
pot_477,3,Buenas - mi nombre es luis,Potencial cliente
gen_322,2,"somos 3 origen Los Carrera 787, Santiago ida y vuelta hora 06:30 fecha 21/12/2025 destino Los Carrera 1590, Santiago 🙌",Cotización generada
cot_449,1,"Hola! origen los carrera 2314, concepción fecha 02/12/2026 me ayudan con la cotización 👋...",Cotizando
pot_79,1,BUENAS TARDES - ME INTERESA EL SERVICIO? - MI CORREO ES MARÍA@HOTMAIL.COM,Potencial cliente
pot_362,3,HOLA!.,Potencial cliente
cot_99,2,"DESTINO AV. PERÚ 2402, LA SERENA - HORA 09:45 😊",Cotizando
cot_16,0,fecha 25 de febrero de 2026 / somos 4 / me ayudan con la cotización!!,Cotizando
pot_122,3,hola | me interesa el servicio? 👍,Potencial cliente
gen_370,3,"destino Baquedano 818, Temuco - hora 11:30 - ida y vuelta - origen Av. San Martín 2250, Viña del Mar - fecha 01/10/2025 - somos 3",Cotización generada
cot_330,1,holaaa - fecha 21 de junio de 2026 - somos 6,Cotizando
cot_21,4,"origen O'Higgins 237, La Serena / destino Av. San Martín 380, Rancagua 👋!!",Cotizando
gen_435,2,"hora 15:00 fecha 15 de abril de 2025 somos 20 ida y vuelta destino O'Higgins 1413, Temuco origen Los Carrera 1087, Temuco",Cotización generada
cot_599,3,"destino Baquedano 2480, Temuco hora 11:30 🙌",Cotizando
pot_154,1,HOLAAA | ME INTERESA EL SERVICIO?,Potencial cliente
cot_155,4,"Origen av. kennedy 856, santiago - destino av. san martín 781, viña del mar - somos 20",Cotizando
cot_309,0,buenas noches / fecha 29/08/2025 / somos 5,Cotizando
cot_188,4,ida y vuelta somos 1 👋!,Cotizando
cot_451,3,"origen Av. Perú 2214, La Serena ; destino Av. Providencia 1399, Antofagasta 👋",Cotizando
cot_435,2,Holaaa - fecha 01 de mayo de 2025 - somos 8 🙌,Cotizando
pot_435,1,buenas,Potencial cliente
cot_596,4,"ORIGEN BAQUEDANO 504, TEMUCO / DESTINO BAQUEDANO 817, ANTOFAGASTA",Cotizando
pot_440,0,HOLA!!!,Potencial cliente
cot_555,0,"origen Baquedano 2325, Concepción destino Los Carrera 1592, La Serena somos 15 me ayudan con la cotización 👋!",Cotizando
cot_516,4,fecha 11/02/2025 somos 3 😊,Cotizando
pot_480,1,buenas noches - mi nombre es Miguel - RUT 6.696.668-k - mi correo es miguel77@gmail.com,Potencial cliente
gen_28,3,"solo ida - fecha 28 de julio de 2026 - origen Av. Perú 2468, Temuco - somos 1 - destino Av. Perú 1330, Santiago - hora 17:45",Cotización generada
gen_409,5,"Solo ida somos 25 origen los carrera 2186, santiago hora 22:15 destino av. kennedy 1548, concepción fecha 19/01/2026",Cotización generada
pot_66,2,hola!,Potencial cliente
gen_81,0,"somos 20 ; origen Av. Kennedy 2028, Antofagasta ; hora 22:15 ; destino O'Higgins 755, Santiago ; ida y vuelta ; fecha 19/12/2026",Cotización generada
cot_470,2,Fecha 27/03/2025 somos 10 🙌!!,Cotizando
pot_252,3,BUENOS DÍAS ME AYUDAN CON INFO? 👋 MI CORREO ES JUAN@OUTLOOK.COM,Potencial cliente
gen_130,3,"destino Av. Kennedy 452, Concepción | solo ida | origen Av. San Martín 332, Santiago | hora 09:30 | fecha 05/11/2026 | somos 50 | maletas grandes.",Cotización generada
cot_507,2,"origen Los Carrera 444, Concepción destino Av. Providencia 1043, La Serena me ayudan con la cotización 😊",Cotizando
