"tienen disponibilidad?","Potencial cliente"
"precio para desde reñaca 769 hasta av. apoquindo 891","Cotizando"
"tipo 17hrs","Cotizando"
"Buenas tardes","Potencial cliente"
"hola, valor para ir a de Viña del Mar a Valdivia","Cotizando"
"cuanto sale para camino real 1131","Cotizando"
"Espero respuesta","Potencial cliente"
"cómo funciona?","Potencial cliente"
"OK","Potencial cliente"
"cuanto me cobras a desde calle 10 2750 hasta aeropuerto el tepual 1155","Cotizando"
"de 1 sur 1754 a calle vergara 759","Cotizando"
"cómo agendo?","Potencial cliente"
"Hola, cómo estás?","Potencial cliente"
"precio de un viaje a a universidad de concepción 1607","Cotizando"
"hora 18:30 hrs","Cotizando"
"¿Hay disponibilidad?","Cotizando"
"Quisiera saber más","Potencial cliente"
"origen: av. brasil 2124, destino: av. los carrera 1308","Cotizando"
"de parque o'higgins 1540 a mall marina 535","Cotizando"
"Ayuda por favor","Potencial cliente"
"Buenas tardes","Potencial cliente"
"tengo una pregunta","Potencial cliente"
"necesito info","Potencial cliente"
"me explican el servicio?","Potencial cliente"
"precio de Talca a Ovalle","Cotizando"
"Buenas noches","Potencial cliente"
"Quisiera saber más","Potencial cliente"
"precio para desde aeropuerto el tepual 2676 hasta avenida españa 1219","Cotizando"
"necesito ir a plaza de armas 273","Cotizando"
"de plaza sotomayor 940 a cerro alegre 97","Cotizando"
"cómo agendo?","Potencial cliente"
"tienen disponibilidad?","Potencial cliente"
"necesito factura","Cotizando"
"Quiero un presupuesto desde avenida alemania 190 hasta miraflores 1906","Cotizando"
"Necesito un traslado desde desde universidad de concepción 2653 hasta av. balmaceda 1870","Cotizando"
"Hola, cómo estás?","Potencial cliente"
"factura electrónica, por favor","Cotizando"
"genial","Potencial cliente"
"origen: providencia 2365, destino: parque o'higgins 1254","Cotizando"
"Quisiera saber más","Potencial cliente"
"origen: plaza de armas 1912, destino: calle vergara 893","Cotizando"
"para 10 personas","Cotizando"
"Buenos días","Potencial cliente"
"voy a de Osorno a Santiago","Cotizando"
"precio de Talcahuano a Copiapó","Cotizando"
"origen: a miraflores 2354","Cotizando"
"destino: a manso de velasco 2546","Cotizando"
"cuanto sale para estación central 1464","Cotizando"
"saludos","Potencial cliente"
"cuanto sale desde aeropuerto arturo merino 1486 hasta calle maipú 842","Cotizando"
"cuanto cuesta ir a Reñaca desde Los Andes","Cotizando"
"precio de Valdivia a Copiapó","Cotizando"
"cuanto cuesta ir a Talca desde Calama","Cotizando"
"¿Hay disponibilidad?","Cotizando"
"Holaaa","Potencial cliente"
"Hola, cómo estás?","Potencial cliente"
"cuanto cuesta ir a Santiago desde Rancagua","Cotizando"
